Planet Name,Host Star,Number of Stars,Number of Planets,Number of Moons,Discovery Facility,Discovery Method,Discovery Telescope,Discovery Instrument,Discovery Year,Planet Radius [Earth radii],Planet Mass [Earth mass],Planet Density [g/cm^3],Equilibrium Temperature [K],Distance from Earth [pc],Spectral Type
HATS-63 b,HATS-63,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2018-01-01,13.529,305.1168,0.67,1398.0,623.232,
HATS-64 b,HATS-64,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2018-01-01,18.82,305.1168,0.245,1793.0,1080.15,
HATS-65 b,HATS-65,2,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2018-01-01,16.825,260.93843,0.3,1634.0,493.32,
HATS-66 b,HATS-66,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2018-01-01,15.816,1694.0339,2.34,1998.0,1477.98,
HATS-67 b,HATS-67,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2018-01-01,18.887,460.8535,0.374,2193.0,960.109,
HATS-68 b,HATS-68,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2018-01-01,13.809,410.0007,0.856,1741.0,603.955,
HATS-69 b,HATS-69,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2018-01-01,10.593,183.38791,0.46,1296.0,414.537,
HATS-7 b,HATS-7,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2015-01-01,6.311,38.1396,0.83,1084.0,240.707,K
HATS-70 b,HATS-70,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2019-01-01,15.513,4100.007,6.64,2730.0,1458.83,
HATS-71 b,HATS-71,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2020-01-01,11.478,117.5971,0.42,587.0,140.225,M
HATS-72 b,HATS-72,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2020-01-01,8.097,39.85588,0.411,739.0,127.589,
HATS-74 A b,HATS-74 A,2,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2021-01-01,11.568,464.02947,1.64,895.0,299.389,
HATS-75 b,HATS-75,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2021-01-01,9.909,156.05375,0.878,772.0,194.964,
HATS-76 b,HATS-76,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2021-01-01,12.094,835.57088,2.58,940.0,385.689,
HATS-77 b,HATS-77,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2021-01-01,13.058,436.69623,1.077,828.0,436.176,
HATS-8 b,HATS-8,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2015-01-01,9.785,43.86054,0.259,1324.0,794.637,
HATS-9 b,HATS-9,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2015-01-01,11.938,266.02371,0.85,1823.0,638.7,
HD 106315 b,HD 106315,1,2,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2017-01-01,2.44,12.6,4.7,1153.0,109.353,F
HD 106315 c,HD 106315,1,2,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2017-01-01,4.35,15.2,1.01,886.0,109.353,F
HD 110113 b,HD 110113,1,2,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2021-01-01,2.05,4.55,2.9,1371.0,106.307,G
HD 136352 b,HD 136352,1,3,0,La Silla Observatory,Radial Velocity,3.6 m ESO Telescope,HARPS Spectrograph,2019-01-01,1.664,4.72,5.62389,905.0,14.682,
HD 136352 b,HD 136352,1,3,0,La Silla Observatory,Radial Velocity,3.6 m ESO Telescope,HARPS Spectrograph,2019-01-01,1.482,4.62,7.8,911.0,14.682,
HD 136352 c,HD 136352,1,3,0,La Silla Observatory,Radial Velocity,3.6 m ESO Telescope,HARPS Spectrograph,2019-01-01,2.608,11.29,3.5,682.0,14.682,
HD 136352 c,HD 136352,1,3,0,La Silla Observatory,Radial Velocity,3.6 m ESO Telescope,HARPS Spectrograph,2019-01-01,2.916,11.24,2.49767,677.0,14.682,
HD 136352 d,HD 136352,1,3,0,La Silla Observatory,Radial Velocity,3.6 m ESO Telescope,HARPS Spectrograph,2019-01-01,2.562,8.82,2.87811,431.0,14.682,
HD 137496 b,HD 137496,1,2,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2021-01-01,1.31,4.04,10.49,2130.0,155.317,G
HD 1397 b,HD 1397,1,1,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2018-01-01,11.5,131.89945,0.477,1228.0,79.5702,
HD 149026 b,HD 149026,1,1,0,Subaru Telescope,Radial Velocity,8.2 m Subaru Telescope,HDS Spectrograph,2005-01-01,7.331,114.10097,1.59,1634.0,75.8643,
HD 149026 b,HD 149026,1,1,0,Subaru Telescope,Radial Velocity,8.2 m Subaru Telescope,HDS Spectrograph,2005-01-01,6.837,113.14748,2.0881,1626.0,75.8643,
HD 15337 b,HD 15337,1,2,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2019-01-01,1.64,7.51,9.3,1001.0,44.8155,K
HD 15337 b,HD 15337,1,2,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2019-01-01,1.699,7.2,8.05,1006.0,44.8155,
HD 15337 c,HD 15337,1,2,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2019-01-01,2.522,8.79,3.02,656.0,44.8155,
HD 15337 c,HD 15337,1,2,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2019-01-01,2.39,8.11,3.23,642.0,44.8155,K
HD 17156 b,HD 17156,1,1,0,Subaru Telescope,Radial Velocity,8.2 m Subaru Telescope,HDS Spectrograph,2007-01-01,11.938,1036.76146,3.35,883.0,78.0863,
HD 183579 b,HD 183579,1,1,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2021-01-01,3.55,19.7,2.39,769.0,57.2651,
HD 183579 b,HD 183579,1,1,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2021-01-01,3.53,11.2,1.4,748.0,57.2651,G
HD 18599 b,HD 18599,2,1,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2022-01-01,2.7,25.5,7.1,863.0,38.5653,
HD 189733 b,HD 189733,2,1,0,Haute-Provence Observatory,Radial Velocity,1.93 m Telescope,ELODIE Spectrograph,2005-01-01,12.756,363.582,0.963,1201.0,19.7638,
HD 189733 b,HD 189733,2,1,0,Haute-Provence Observatory,Radial Velocity,1.93 m Telescope,ELODIE Spectrograph,2005-01-01,12.902,365.5045,1.004,1191.0,19.7638,
HD 189733 b,HD 189733,2,1,0,Haute-Provence Observatory,Radial Velocity,1.93 m Telescope,ELODIE Spectrograph,2005-01-01,12.543,370.58978,1.031,1209.0,19.7638,
HD 189733 b,HD 189733,2,1,0,Haute-Provence Observatory,Radial Velocity,1.93 m Telescope,ELODIE Spectrograph,2005-01-01,12.3,349.6,0.96,1200.0,19.7638,K
HD 191939 b,HD 191939,1,6,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2020-01-01,3.41,10.0,1.4,880.0,53.6089,G
